strap,tax_yr,bldAcutalVal,LandAcutalVal,xfActualVal,totalActualVal,landAssessedVal,bldAssessedVal,xfAssessedVal,totalAssessedVal,status_cd
R0000848,2021,519700,890600,,1410300,63678.0,37159.0,,100837,A 
R0000849,2021,434500,346400,,780900,24768.0,31067.0,,55835,A 
R0000850,2021,1629800,1473200,,3103000,105334.0,116531.0,,221865,A 
R0000853,2021,1042200,1111400,,2153600,79465.0,74517.0,,153982,A 
R0000856,2021,1091200,655100,,1746300,46840.0,78021.0,,124861,A 
R0000860,2021,220200,347600,,567800,24853.0,15744.0,,40597,A 
R0000863,2021,159300,667400,,826700,47719.0,11390.0,,59109,A 
R0000864,2021,126240,1136160,,1262400,81235.0,9026.0,,90261,A 
R0000867,2021,510400,788400,,1298800,56371.0,36494.0,,92865,A 
R0000868,2021,835900,645200,,1481100,46132.0,59767.0,,105899,A 
R0000869,2021,90320,812880,,903200,58121.0,6458.0,,64579,A 
R0000870,2021,70740,636660,,707400,45521.0,5058.0,,50579,A 
R0000872,2021,1352600,1101100,,2453700,78729.0,96711.0,,175440,A 
R0000873,2021,443400,802700,,1246100,57393.0,31703.0,,89096,A 
R0000874,2021,137231,137231,,274462,9812.0,9812.0,,19624,A 
R0000875,2021,88600,740500,,829100,52946.0,6335.0,,59281,A 
R0000876,2021,534500,642600,,1177100,45946.0,38217.0,,84163,A 
R0000878,2021,239200,342500,,581700,24489.0,17103.0,,41592,A 
R0000879,2021,268500,982200,,1250700,70227.0,19198.0,,89425,A 
R0000882,2021,391600,397800,,789400,28443.0,27999.0,,56442,A 
R0000885,2021,293680,1209300,,1502980,86465.0,20998.0,,107463,A 
R0000886,2021,154700,792600,,947300,56671.0,11061.0,,67732,A 
R0000887,2021,313000,506500,,819500,36215.0,22380.0,,58595,A 
R0000888,2021,83210,748890,,832100,53546.0,5950.0,,59496,A 
R0000890,2021,498000,628700,,1126700,44952.0,35607.0,,80559,A 
